S	subexp	related	n2num	end	errd	cnd	errcord
38	Cat	unrel	plur	0	0	3	3
39	Cat	unrel	plur	0	0	3	3
40	Cat	unrel	plur	0	0	3	3
41	Cat	unrel	plur	0	0	4	4
42	Cat	unrel	plur	0	0	2	2
43	Cat	unrel	plur	0	0	4	4
44	Cat	unrel	plur	0	0	2	2
46	Cat	unrel	plur	0	0	6	6
47	Cat	unrel	plur	0	0	3	3
48	Cat	unrel	plur	0	0	3	3
49	Cat	unrel	plur	0	0	1	1
50	Cat	unrel	plur	0	0	2	2
51	Cat	unrel	plur	0	0	4	4
52	Cat	unrel	plur	1	1	5	5
53	Cat	unrel	plur	0	0	4	4
54	Cat	unrel	plur	0	0	4	4
55	Cat	unrel	plur	0	0	5	5
56	Cat	unrel	plur	0	0	3	3
57	Cat	unrel	plur	0	0	5	5
58	Cat	unrel	plur	0	0	3	4
59	Cat	unrel	plur	0	0	2	2
60	Cat	unrel	plur	1	1	3	4
61	Cat	unrel	plur	0	0	3	3
62	Cat	unrel	plur	0	0	1	1
63	Cat	unrel	plur	0	0	4	4
64	Cat	unrel	plur	0	0	2	3
65	Cat	unrel	plur	0	0	2	2
66	Cat	unrel	plur	0	0	3	3
67	Cat	unrel	plur	0	0	2	2
68	Cat	unrel	plur	1	1	4	4
69	Cat	unrel	plur	2	2	3	3
70	Cat	unrel	plur	0	0	1	1
71	Cat	unrel	plur	1	1	2	2
72	Cat	unrel	plur	0	0	1	1
73	Cat	unrel	plur	0	0	4	4
74	Cat	unrel	plur	0	0	3	3
75	Cat	unrel	plur	0	0	3	3
76	Cat	unrel	plur	0	0	4	4
77	Cat	unrel	plur	1	1	3	3
78	Cat	unrel	plur	0	0	3	3
80	Cat	unrel	plur	0	0	2	2
81	Cat	unrel	plur	1	1	4	4
82	Cat	unrel	plur	0	0	3	3
83	Cat	unrel	plur	0	0	1	1
84	Cat	unrel	plur	0	0	1	1
85	Cat	unrel	plur	0	0	2	2
86	Cat	unrel	plur	0	0	2	2
87	Cat	unrel	plur	0	0	3	4
88	Cat	unrel	plur	0	0	2	2
89	Cat	unrel	plur	0	0	2	4
90	Cat	unrel	plur	0	0	4	4
91	Cat	unrel	plur	1	1	5	5
92	Cat	unrel	plur	0	0	3	3
93	Cat	unrel	plur	0	0	4	6
94	Cat	unrel	plur	0	0	1	1
95	Cat	unrel	plur	0	0	3	4
96	Cat	unrel	plur	0	0	4	4
97	Cat	unrel	plur	1	1	3	3
98	Cat	unrel	plur	0	0	3	3
99	Cat	unrel	plur	0	0	4	5
100	Cat	unrel	plur	0	0	4	4
101	Cat	unrel	plur	1	1	5	5
102	Cat	unrel	plur	0	0	4	4
103	Cat	unrel	plur	0	0	4	4
104	Cat	unrel	plur	0	0	3	3
105	Cat	unrel	plur	1	1	5	5
106	Cat	unrel	plur	0	0	2	2
107	Cat	unrel	plur	0	0	2	2
108	Cat	unrel	plur	0	0	4	4
109	Cat	unrel	plur	0	0	1	1
110	Cat	unrel	plur	0	0	3	4
111	Cat	unrel	plur	0	0	6	6
112	Cat	unrel	plur	0	0	4	5
113	Cat	unrel	plur	0	0	5	5
114	Cat	unrel	plur	0	0	2	2
115	Cat	unrel	plur	0	0	1	2
116	Cat	unrel	plur	0	0	1	1
117	Cat	unrel	plur	0	0	2	2
118	Cat	unrel	plur	0	0	4	4
119	Cat	unrel	plur	0	0	4	4
121	Cat	unrel	plur	0	0	2	2
122	Cat	unrel	plur	0	0	4	5
124	Cat	unrel	plur	0	0	2	3
125	Cat	unrel	plur	1	1	3	3
126	Cat	unrel	plur	0	0	3	3
127	Cat	unrel	plur	1	1	3	3
128	Cat	unrel	plur	0	0	5	5
129	Cat	unrel	plur	1	1	2	2
130	Cat	unrel	plur	0	0	2	3
131	Cat	unrel	plur	0	0	3	3
132	Cat	unrel	plur	0	0	4	4
133	Cat	unrel	plur	0	0	2	2
134	Cat	unrel	plur	0	0	0	0
