subj subexpt related semint n2num errnd errd errcornd errcord list
31 SemRel nullrelated unint plur 0 0 2 3 7
31 SemRel nullrelated unint sing 0 0 0 1 7
32 SemRel nullrelated integ plur 0 0 0 0 8
32 SemRel nullrelated integ sing 0 0 3 3 8
32 SemRel nullrelated unint plur 1 2 3 4 8
32 SemRel nullrelated unint sing 0 0 3 4 8
33 SemRel nullrelated integ plur 0 0 2 2 1
33 SemRel nullrelated integ sing 0 0 4 4 1
33 SemRel nullrelated unint plur 0 0 2 2 1
33 SemRel nullrelated unint sing 0 0 3 3 1
34 SemRel nullrelated integ plur 0 0 3 3 2
34 SemRel nullrelated integ sing 0 0 0 0 2
34 SemRel nullrelated unint plur 0 0 2 2 2
34 SemRel nullrelated unint sing 0 0 5 5 2
35 SemRel nullrelated integ plur 0 0 2 2 3
35 SemRel nullrelated integ sing 0 0 3 3 3
35 SemRel nullrelated unint plur 0 0 1 2 3
35 SemRel nullrelated unint sing 0 0 3 3 3
36 SemRel nullrelated integ plur 0 0 5 5 4
36 SemRel nullrelated integ sing 0 0 3 5 4
36 SemRel nullrelated unint plur 0 0 5 5 4
36 SemRel nullrelated unint sing 0 0 5 5 4
37 SemRel nullrelated integ plur 1 1 1 1 5
37 SemRel nullrelated integ sing 0 0 3 3 5
37 SemRel nullrelated unint plur 0 0 1 2 5
37 SemRel nullrelated unint sing 0 0 3 3 5
38 SemRel nullrelated integ plur 0 0 4 4 6
38 SemRel nullrelated integ sing 0 0 2 2 6
38 SemRel nullrelated unint plur 0 0 3 4 6
38 SemRel nullrelated unint sing 0 0 3 3 6
39 SemRel nullrelated integ plur 0 0 2 2 7
39 SemRel nullrelated integ sing 0 0 4 4 7
39 SemRel nullrelated unint plur 0 0 2 2 7
39 SemRel nullrelated unint sing 0 0 3 3 7
40 SemRel nullrelated integ plur 0 0 2 3 8
40 SemRel nullrelated integ sing 0 0 0 2 8
40 SemRel nullrelated unint plur 0 0 4 5 8
40 SemRel nullrelated unint sing 0 0 3 4 8
41 SemRel nullrelated integ plur 0 0 3 3 1
41 SemRel nullrelated integ sing 0 0 4 4 1
41 SemRel nullrelated unint plur 0 0 2 2 1
41 SemRel nullrelated unint sing 0 0 3 4 1
42 SemRel nullrelated integ plur 0 0 4 4 2
42 SemRel nullrelated integ sing 0 0 0 0 2
42 SemRel nullrelated unint plur 0 0 2 4 2
42 SemRel nullrelated unint sing 0 0 1 1 2
