subj subexpt semint related n2num errnd errd errcornd errcord list
17 SemRel unint unrel sing 0 0 1 1 1
18 SemRel integ rel plur 0 0 3 3 2
18 SemRel integ rel sing 0 0 1 2 2
18 SemRel integ unrel plur 1 1 1 1 2
18 SemRel integ unrel sing 0 0 0 0 2
18 SemRel unint rel plur 0 0 0 0 2
18 SemRel unint rel sing 0 0 2 2 2
18 SemRel unint unrel plur 0 0 2 2 2
18 SemRel unint unrel sing 0 0 2 2 2
19 SemRel integ rel plur 0 0 2 2 3
19 SemRel integ rel sing 0 0 2 3 3
19 SemRel integ unrel plur 0 0 2 2 3
19 SemRel integ unrel sing 0 0 1 1 3
19 SemRel unint rel plur 0 0 1 1 3
19 SemRel unint rel sing 0 0 1 1 3
19 SemRel unint unrel plur 0 0 2 2 3
19 SemRel unint unrel sing 0 0 1 2 3
20 SemRel integ rel plur 0 0 1 2 4
20 SemRel integ rel sing 0 0 2 2 4
20 SemRel integ unrel plur 0 0 1 2 4
20 SemRel integ unrel sing 0 0 2 2 4
20 SemRel unint rel plur 0 0 1 1 4
20 SemRel unint rel sing 0 0 2 2 4
20 SemRel unint unrel plur 0 0 3 3 4
20 SemRel unint unrel sing 0 0 1 1 4
21 SemRel integ rel plur 0 0 3 3 5
21 SemRel integ rel sing 0 0 2 2 5
21 SemRel integ unrel plur 0 0 3 3 5
21 SemRel integ unrel sing 0 0 3 3 5
21 SemRel unint rel plur 0 0 2 2 5
21 SemRel unint rel sing 0 0 3 3 5
21 SemRel unint unrel plur 0 0 3 3 5
21 SemRel unint unrel sing 0 0 2 2 5
22 SemRel integ rel plur 0 0 0 0 6
22 SemRel integ rel sing 0 0 1 1 6
22 SemRel integ unrel plur 1 1 1 1 6
22 SemRel integ unrel sing 0 0 2 2 6
22 SemRel unint rel plur 0 0 0 0 6
22 SemRel unint rel sing 0 0 0 0 6
22 SemRel unint unrel plur 0 0 2 2 6
22 SemRel unint unrel sing 0 0 0 0 6
23 SemRel integ rel plur 1 1 2 2 7
23 SemRel integ rel sing 0 0 1 1 7
23 SemRel integ unrel plur 0 0 2 2 7
23 SemRel integ unrel sing 0 0 0 0 7
23 SemRel unint rel plur 0 0 2 2 7
23 SemRel unint rel sing 0 0 2 2 7
23 SemRel unint unrel plur 0 0 2 2 7
23 SemRel unint unrel sing 0 0 1 1 7
24 SemRel integ rel plur 0 0 1 2 8
24 SemRel integ rel sing 0 0 1 1 8
24 SemRel integ unrel plur 0 0 1 1 8
24 SemRel integ unrel sing 0 0 1 1 8
24 SemRel unint rel plur 0 0 2 2 8
24 SemRel unint rel sing 0 0 2 2 8
24 SemRel unint unrel plur 0 0 1 2 8
24 SemRel unint unrel sing 0 0 1 1 8
25 SemRel integ rel plur 0 0 2 2 1
25 SemRel integ rel sing 0 0 2 2 1
25 SemRel integ unrel plur 0 0 2 2 1
25 SemRel integ unrel sing 0 0 2 2 1
25 SemRel unint rel plur 0 0 0 1 1
25 SemRel unint rel sing 0 0 2 2 1
25 SemRel unint unrel plur 0 0 0 1 1
25 SemRel unint unrel sing 0 0 2 3 1
26 SemRel integ rel plur 0 0 3 3 2
26 SemRel integ rel sing 0 0 2 2 2
26 SemRel integ unrel plur 0 0 2 3 2
26 SemRel integ unrel sing 0 0 1 2 2
26 SemRel unint rel plur 1 1 2 2 2
26 SemRel unint rel sing 0 0 1 2 2
26 SemRel unint unrel plur 0 0 1 2 2
26 SemRel unint unrel sing 0 0 0 1 2
27 SemRel integ rel plur 0 0 1 1 3
27 SemRel integ rel sing 0 0 2 2 3
27 SemRel integ unrel plur 0 0 1 1 3
27 SemRel integ unrel sing 0 0 2 2 3
27 SemRel unint rel plur 0 0 0 0 3
27 SemRel unint rel sing 0 0 1 1 3
27 SemRel unint unrel plur 0 0 0 1 3
27 SemRel unint unrel sing 0 0 1 1 3
28 SemRel integ rel plur 0 0 2 2 4
28 SemRel integ rel sing 0 0 2 2 4
28 SemRel integ unrel plur 0 0 2 2 4
28 SemRel integ unrel sing 0 0 1 1 4
28 SemRel unint rel plur 0 0 0 0 4
28 SemRel unint rel sing 0 0 1 2 4
28 SemRel unint unrel plur 0 0 0 0 4
28 SemRel unint unrel sing 0 0 1 1 4
29 SemRel integ rel plur 0 0 1 1 5
29 SemRel integ rel sing 0 0 2 2 5
29 SemRel integ unrel plur 0 0 2 2 5
29 SemRel integ unrel sing 0 0 0 0 5
29 SemRel unint rel plur 0 0 2 2 5
29 SemRel unint rel sing 0 0 2 2 5
29 SemRel unint unrel plur 0 0 3 3 5
29 SemRel unint unrel sing 0 0 1 3 5
30 SemRel integ rel plur 1 1 2 2 6
30 SemRel integ rel sing 0 0 2 2 6
30 SemRel integ unrel plur 1 1 2 2 6
30 SemRel integ unrel sing 0 0 0 0 6
30 SemRel unint rel plur 0 0 1 1 6
30 SemRel unint rel sing 0 0 2 3 6
30 SemRel unint unrel plur 0 0 0 2 6
30 SemRel unint unrel sing 0 0 1 2 6
31 SemRel integ rel plur 0 0 1 1 7
31 SemRel integ rel sing 0 0 2 2 7
31 SemRel integ unrel plur 0 0 0 1 7
31 SemRel integ unrel sing 0 0 1 1 7
31 SemRel unint rel plur 0 0 1 2 7
31 SemRel unint rel sing 0 0 0 0 7
31 SemRel unint unrel plur 0 0 1 1 7
31 SemRel unint unrel sing 0 0 0 1 7
32 SemRel integ rel plur 0 0 0 0 8
32 SemRel integ rel sing 0 0 2 2 8
32 SemRel integ unrel plur 0 0 0 0 8
32 SemRel integ unrel sing 0 0 1 1 8
32 SemRel unint rel plur 1 2 2 3 8
32 SemRel unint rel sing 0 0 2 2 8
32 SemRel unint unrel plur 0 0 1 1 8
32 SemRel unint unrel sing 0 0 1 2 8
33 SemRel integ rel plur 0 0 2 2 1
33 SemRel integ rel sing 0 0 2 2 1
33 SemRel integ unrel plur 0 0 0 0 1
33 SemRel integ unrel sing 0 0 2 2 1
33 SemRel unint rel plur 0 0 0 0 1
33 SemRel unint rel sing 0 0 1 1 1
33 SemRel unint unrel plur 0 0 2 2 1
33 SemRel unint unrel sing 0 0 2 2 1
34 SemRel integ rel plur 0 0 3 3 2
34 SemRel integ rel sing 0 0 0 0 2
34 SemRel integ unrel plur 0 0 0 0 2
34 SemRel integ unrel sing 0 0 0 0 2
34 SemRel unint rel plur 0 0 0 0 2
34 SemRel unint rel sing 0 0 3 3 2
34 SemRel unint unrel plur 0 0 2 2 2
34 SemRel unint unrel sing 0 0 2 2 2
35 SemRel integ rel plur 0 0 0 0 3
35 SemRel integ rel sing 0 0 1 1 3
35 SemRel integ unrel plur 0 0 2 2 3
35 SemRel integ unrel sing 0 0 2 2 3
35 SemRel unint rel plur 0 0 0 0 3
35 SemRel unint rel sing 0 0 1 1 3
35 SemRel unint unrel plur 0 0 1 2 3
35 SemRel unint unrel sing 0 0 2 2 3
36 SemRel integ rel plur 0 0 2 2 4
36 SemRel integ rel sing 0 0 2 3 4
36 SemRel integ unrel plur 0 0 3 3 4
36 SemRel integ unrel sing 0 0 1 2 4
36 SemRel unint rel plur 0 0 2 2 4
36 SemRel unint rel sing 0 0 3 3 4
36 SemRel unint unrel plur 0 0 3 3 4
36 SemRel unint unrel sing 0 0 2 2 4
37 SemRel integ rel plur 0 0 0 0 5
37 SemRel integ rel sing 0 0 1 1 5
37 SemRel integ unrel plur 1 1 1 1 5
37 SemRel integ unrel sing 0 0 2 2 5
37 SemRel unint rel plur 0 0 0 0 5
37 SemRel unint rel sing 0 0 3 3 5
37 SemRel unint unrel plur 0 0 1 2 5
37 SemRel unint unrel sing 0 0 0 0 5
38 SemRel integ rel plur 0 0 2 2 6
38 SemRel integ rel sing 0 0 2 2 6
38 SemRel integ unrel plur 0 0 2 2 6
38 SemRel integ unrel sing 0 0 0 0 6
38 SemRel unint rel plur 0 0 1 2 6
38 SemRel unint rel sing 0 0 1 1 6
38 SemRel unint unrel plur 0 0 2 2 6
38 SemRel unint unrel sing 0 0 2 2 6
39 SemRel integ rel plur 0 0 1 1 7
39 SemRel integ rel sing 0 0 2 2 7
39 SemRel integ unrel plur 0 0 1 1 7
39 SemRel integ unrel sing 0 0 2 2 7
39 SemRel unint rel plur 0 0 1 1 7
39 SemRel unint rel sing 0 0 1 1 7
39 SemRel unint unrel plur 0 0 1 1 7
39 SemRel unint unrel sing 0 0 2 2 7
40 SemRel integ rel plur 0 0 1 1 8
40 SemRel integ rel sing 0 0 0 2 8
40 SemRel integ unrel plur 0 0 1 2 8
40 SemRel integ unrel sing 0 0 0 0 8
40 SemRel unint rel plur 0 0 3 3 8
40 SemRel unint rel sing 0 0 2 2 8
40 SemRel unint unrel plur 0 0 1 2 8
40 SemRel unint unrel sing 0 0 1 2 8
41 SemRel integ rel plur 0 0 1 1 1
41 SemRel integ rel sing 0 0 2 2 1
41 SemRel integ unrel plur 0 0 2 2 1
41 SemRel integ unrel sing 0 0 2 2 1
41 SemRel unint rel plur 0 0 2 2 1
41 SemRel unint rel sing 0 0 2 2 1
41 SemRel unint unrel plur 0 0 0 0 1
41 SemRel unint unrel sing 0 0 1 2 1
42 SemRel integ rel plur 0 0 3 3 2
42 SemRel integ rel sing 0 0 0 0 2
42 SemRel integ unrel plur 0 0 1 1 2
42 SemRel integ unrel sing 0 0 0 0 2
42 SemRel unint rel plur 0 0 1 2 2
42 SemRel unint rel sing 0 0 1 1 2
42 SemRel unint unrel plur 0 0 1 2 2
42 SemRel unint unrel sing 0 0 0 0 2
