S	subexp	semint	related	n2num	end	errd	cnd	errcord	list
55	SemRel	unint	rel	plur	0	0	1	1	7
56	SemRel	unint	rel	plur	0	0	1	1	8
57	SemRel	unint	rel	plur	0	0	0	0	1
58	SemRel	unint	rel	plur	0	0	0	0	2
59	SemRel	unint	rel	plur	0	0	1	1	3
60	SemRel	unint	rel	plur	0	0	1	2	4
61	SemRel	unint	rel	plur	0	0	0	0	5
62	SemRel	unint	rel	plur	0	0	2	2	6
63	SemRel	unint	rel	plur	0	0	1	1	7
64	SemRel	unint	rel	plur	0	0	2	2	8
65	SemRel	unint	rel	plur	1	1	1	1	1
66	SemRel	unint	rel	plur	1	1	2	2	2
67	SemRel	unint	rel	plur	0	0	2	2	3
68	SemRel	unint	rel	plur	0	0	0	0	4
69	SemRel	unint	rel	plur	0	0	2	3	5
70	SemRel	unint	rel	plur	0	0	1	1	6
71	SemRel	unint	rel	plur	0	0	2	2	7
72	SemRel	unint	rel	plur	0	0	1	1	8
73	SemRel	unint	rel	plur	0	0	1	1	1
74	SemRel	unint	rel	plur	0	0	2	2	2
75	SemRel	unint	rel	plur	0	0	2	2	3
76	SemRel	unint	rel	plur	0	0	1	1	4
77	SemRel	unint	rel	plur	0	0	1	1	5
78	SemRel	unint	rel	plur	0	0	1	1	6
79	SemRel	unint	rel	plur	0	0	1	1	7
80	SemRel	unint	rel	plur	0	0	2	2	8
81	SemRel	unint	rel	plur	0	0	2	2	1
82	SemRel	unint	rel	plur	0	0	2	2	2
83	SemRel	unint	rel	plur	0	0	1	2	3
84	SemRel	unint	rel	plur	0	0	1	1	4
85	SemRel	unint	rel	plur	0	0	0	0	5
86	SemRel	unint	rel	plur	0	0	2	3	6
87	SemRel	unint	rel	plur	0	0	0	0	7
88	SemRel	unint	rel	plur	0	0	1	1	8
89	SemRel	unint	rel	plur	0	0	1	1	1
90	SemRel	unint	rel	plur	0	0	1	3	2
91	SemRel	unint	rel	plur	0	0	3	3	3
92	SemRel	unint	rel	plur	0	0	1	1	4
93	SemRel	unint	rel	plur	0	0	2	2	5
94	SemRel	unint	rel	plur	0	0	3	3	6
95	SemRel	unint	rel	plur	1	1	1	1	7
96	SemRel	unint	rel	plur	0	0	1	1	8
97	SemRel	unint	rel	plur	1	1	2	2	1
98	SemRel	unint	rel	plur	0	0	1	1	2
99	SemRel	unint	rel	plur	1	1	2	2	3
100	SemRel	unint	rel	plur	0	0	1	1	4
101	SemRel	unint	rel	plur	0	0	0	0	5
102	SemRel	unint	rel	plur	0	0	2	2	6
103	SemRel	unint	rel	plur	0	0	2	2	7
104	SemRel	unint	rel	plur	0	0	1	1	8
105	SemRel	unint	rel	plur	0	0	0	0	1
106	SemRel	unint	rel	plur	0	0	1	1	2
107	SemRel	unint	rel	plur	0	0	3	3	3
108	SemRel	unint	rel	plur	0	0	0	0	4
109	SemRel	unint	rel	plur	0	0	0	0	5
110	SemRel	unint	rel	plur	0	0	2	2	6
111	SemRel	unint	rel	plur	0	0	1	1	7
113	SemRel	unint	rel	plur	0	0	2	2	1
114	SemRel	unint	rel	plur	0	0	2	2	2
115	SemRel	unint	rel	plur	0	1	1	2	3
116	SemRel	unint	rel	plur	0	0	0	0	4
117	SemRel	unint	rel	plur	1	1	3	3	5
118	SemRel	unint	rel	plur	0	0	1	1	6
119	SemRel	unint	rel	plur	0	0	2	2	7
120	SemRel	unint	rel	plur	0	0	1	1	8
122	SemRel	unint	rel	plur	0	0	2	2	2
123	SemRel	unint	rel	plur	1	1	2	2	3
124	SemRel	unint	rel	plur	0	0	1	1	4
125	SemRel	unint	rel	plur	0	0	1	2	5
126	SemRel	unint	rel	plur	0	0	2	2	6
127	SemRel	unint	rel	plur	1	1	2	2	7
128	SemRel	unint	rel	plur	0	0	1	2	8
129	SemRel	unint	rel	plur	0	0	0	0	1
130	SemRel	unint	rel	plur	0	0	3	3	2
131	SemRel	unint	rel	plur	0	0	2	2	3
132	SemRel	unint	rel	plur	0	0	0	0	4
133	SemRel	unint	rel	plur	0	0	1	1	5
134	SemRel	unint	rel	plur	0	0	1	1	6
135	SemRel	unint	rel	plur	0	0	2	2	7
136	SemRel	unint	rel	plur	0	0	2	3	8
137	SemRel	unint	rel	plur	1	1	3	3	1
139	SemRel	unint	rel	plur	0	1	0	2	3
140	SemRel	unint	rel	plur	0	0	0	0	4
141	SemRel	unint	rel	plur	0	0	3	3	5
142	SemRel	unint	rel	plur	1	1	2	2	6
143	SemRel	unint	rel	plur	0	0	2	2	7
144	SemRel	unint	rel	plur	0	0	2	2	4
145	SemRel	unint	rel	plur	0	0	1	1	1
146	SemRel	unint	rel	plur	0	0	1	2	2
147	SemRel	unint	rel	plur	0	0	2	2	3
148	SemRel	unint	rel	plur	0	0	1	1	4
149	SemRel	unint	rel	plur	0	0	2	2	5
150	SemRel	unint	rel	plur	3	3	3	3	6
151	SemRel	unint	rel	plur	0	0	2	2	7
152	SemRel	unint	rel	plur	0	0	2	2	8
153	SemRel	unint	rel	plur	0	0	2	2	1
154	SemRel	unint	rel	plur	0	0	0	0	2
155	SemRel	unint	rel	plur	0	0	3	3	3
156	SemRel	unint	rel	plur	0	0	1	1	4
159	SemRel	unint	rel	plur	0	0	1	2	7
160	SemRel	unint	rel	plur	0	0	2	2	8
161	SemRel	unint	rel	plur	1	1	2	2	1
162	SemRel	unint	rel	plur	0	0	3	3	2
163	SemRel	unint	rel	plur	0	0	2	2	3
164	SemRel	unint	rel	plur	0	0	0	0	4
165	SemRel	unint	rel	plur	0	0	2	2	5
166	SemRel	unint	rel	plur	0	0	2	2	6
167	SemRel	unint	rel	plur	0	0	1	1	7
168	SemRel	unint	rel	plur	0	0	0	0	8
169	SemRel	unint	rel	plur	0	0	2	2	1
170	SemRel	unint	rel	plur	0	0	1	1	2
171	SemRel	unint	rel	plur	0	0	1	1	3
172	SemRel	unint	rel	plur	0	0	2	2	4
173	SemRel	unint	rel	plur	0	0	0	0	5
174	SemRel	unint	rel	plur	0	0	3	3	6
175	SemRel	unint	rel	plur	0	0	3	3	7
176	SemRel	unint	rel	plur	0	0	2	2	8
177	SemRel	unint	rel	plur	1	1	1	1	1
178	SemRel	unint	rel	plur	0	0	1	2	2
179	SemRel	unint	rel	plur	0	0	1	1	3
180	SemRel	unint	rel	plur	0	0	0	1	4
181	SemRel	unint	rel	plur	0	0	1	1	5
182	SemRel	unint	rel	plur	0	0	2	2	6
183	SemRel	unint	rel	plur	0	0	1	1	7
184	SemRel	unint	rel	plur	0	0	2	2	8
185	SemRel	unint	rel	plur	0	0	2	2	1
186	SemRel	unint	rel	plur	0	0	0	1	2
187	SemRel	unint	rel	plur	1	1	1	1	3
188	SemRel	unint	rel	plur	0	0	0	0	4
189	SemRel	unint	rel	plur	0	0	1	1	5
190	SemRel	unint	rel	plur	1	1	3	3	6
193	SemRel	unint	rel	plur	0	0	1	1	1
194	SemRel	unint	rel	plur	0	0	0	1	2
195	SemRel	unint	rel	plur	0	0	1	1	3
196	SemRel	unint	rel	plur	0	0	1	1	4
197	SemRel	unint	rel	plur	0	0	2	2	5
198	SemRel	unint	rel	plur	0	0	3	3	6
199	SemRel	unint	rel	plur	0	0	2	2	7
200	SemRel	unint	rel	plur	0	0	2	2	8
201	SemRel	unint	rel	plur	0	0	1	1	1
202	SemRel	unint	rel	plur	0	0	1	1	2
203	SemRel	unint	rel	plur	0	0	1	1	3
204	SemRel	unint	rel	plur	0	0	1	1	4
205	SemRel	unint	rel	plur	0	0	2	2	5
206	SemRel	unint	rel	plur	1	1	3	3	6
207	SemRel	unint	rel	plur	0	0	2	2	7
208	SemRel	unint	rel	plur	0	0	1	1	8
209	SemRel	unint	rel	plur	0	0	1	1	1
210	SemRel	unint	rel	plur	0	0	0	0	2
211	SemRel	unint	rel	plur	0	0	1	1	3
212	SemRel	unint	rel	plur	0	0	1	1	4
213	SemRel	unint	rel	plur	0	0	2	2	5
214	SemRel	unint	rel	plur	0	0	3	3	6
215	SemRel	unint	rel	plur	0	0	2	2	7
216	SemRel	unint	rel	plur	0	0	3	3	8
217	SemRel	unint	rel	plur	0	0	1	1	1
218	SemRel	unint	rel	plur	0	0	0	0	2
220	SemRel	unint	rel	plur	0	0	3	3	4
221	SemRel	unint	rel	plur	0	0	1	1	5
222	SemRel	unint	rel	plur	0	0	3	3	6
223	SemRel	unint	rel	plur	1	1	1	1	7
224	SemRel	unint	rel	plur	0	0	0	0	8
225	SemRel	unint	rel	plur	0	0	3	3	1
226	SemRel	unint	rel	plur	0	0	1	1	2
227	SemRel	unint	rel	plur	0	0	1	1	3
228	SemRel	unint	rel	plur	0	0	0	0	4
229	SemRel	unint	rel	plur	0	0	3	3	5
230	SemRel	unint	rel	plur	1	1	1	2	6
231	SemRel	unint	rel	plur	0	0	1	1	7
232	SemRel	unint	rel	plur	0	0	3	3	8
233	SemRel	unint	rel	plur	1	1	3	3	1
234	SemRel	unint	rel	plur	0	0	3	3	2
235	SemRel	unint	rel	plur	0	0	2	2	3
236	SemRel	unint	rel	plur	0	0	1	1	4
237	SemRel	unint	rel	plur	0	0	0	0	5
238	SemRel	unint	rel	plur	0	0	0	0	6
239	SemRel	unint	rel	plur	0	0	0	0	7
240	SemRel	unint	rel	plur	0	0	1	1	8
241	SemRel	unint	rel	plur	0	0	1	1	1
242	SemRel	unint	rel	plur	0	0	0	1	2
243	SemRel	unint	rel	plur	0	0	3	3	3
244	SemRel	unint	rel	plur	0	0	3	3	4
1	SemRel	unint	unrel	plur	0	0	1	2	1
2	SemRel	unint	unrel	plur	0	0	0	1	2
3	SemRel	unint	unrel	plur	0	0	1	3	3
4	SemRel	unint	unrel	plur	0	0	2	2	4
5	SemRel	unint	unrel	plur	0	0	1	1	5
6	SemRel	unint	unrel	plur	0	0	2	2	6
7	SemRel	unint	unrel	plur	0	0	0	1	7
8	SemRel	unint	unrel	plur	0	0	3	3	8
9	SemRel	unint	unrel	plur	0	0	1	1	1
10	SemRel	unint	unrel	plur	0	0	2	2	2
11	SemRel	unint	unrel	plur	0	0	0	0	3
12	SemRel	unint	unrel	plur	0	0	1	1	4
13	SemRel	unint	unrel	plur	0	0	0	0	5
14	SemRel	unint	unrel	plur	0	0	1	1	6
15	SemRel	unint	unrel	plur	0	0	0	0	7
16	SemRel	unint	unrel	plur	0	0	2	2	8
17	SemRel	unint	unrel	plur	0	0	0	1	1
18	SemRel	unint	unrel	plur	0	0	2	2	2
19	SemRel	unint	unrel	plur	0	0	2	2	3
20	SemRel	unint	unrel	plur	0	0	3	3	4
21	SemRel	unint	unrel	plur	0	0	3	3	5
22	SemRel	unint	unrel	plur	0	0	2	2	6
23	SemRel	unint	unrel	plur	0	0	2	2	7
24	SemRel	unint	unrel	plur	0	0	1	2	8
25	SemRel	unint	unrel	plur	0	0	0	1	1
26	SemRel	unint	unrel	plur	0	0	1	2	2
27	SemRel	unint	unrel	plur	0	0	0	1	3
28	SemRel	unint	unrel	plur	0	0	0	0	4
29	SemRel	unint	unrel	plur	0	0	3	3	5
30	SemRel	unint	unrel	plur	0	0	0	2	6
31	SemRel	unint	unrel	plur	0	0	1	1	7
32	SemRel	unint	unrel	plur	0	0	1	1	8
33	SemRel	unint	unrel	plur	0	0	2	2	1
34	SemRel	unint	unrel	plur	0	0	2	2	2
35	SemRel	unint	unrel	plur	0	0	1	2	3
36	SemRel	unint	unrel	plur	0	0	3	3	4
37	SemRel	unint	unrel	plur	0	0	1	2	5
38	SemRel	unint	unrel	plur	0	0	2	2	6
39	SemRel	unint	unrel	plur	0	0	1	1	7
40	SemRel	unint	unrel	plur	0	0	1	2	8
41	SemRel	unint	unrel	plur	0	0	0	0	1
42	SemRel	unint	unrel	plur	0	0	1	2	2
43	SemRel	unint	unrel	plur	0	0	2	2	3
44	SemRel	unint	unrel	plur	0	0	3	3	4
45	SemRel	unint	unrel	plur	0	0	2	2	5
46	SemRel	unint	unrel	plur	0	0	0	1	6
47	SemRel	unint	unrel	plur	0	0	1	1	7
48	SemRel	unint	unrel	plur	0	0	2	2	8
49	SemRel	unint	unrel	plur	0	0	1	2	1
51	SemRel	unint	unrel	plur	0	0	1	1	3
52	SemRel	unint	unrel	plur	0	0	2	2	4
53	SemRel	unint	unrel	plur	0	0	2	2	5
54	SemRel	unint	unrel	plur	0	0	1	1	6
55	SemRel	unint	unrel	plur	0	0	1	2	7
56	SemRel	unint	unrel	plur	0	0	2	2	8
57	SemRel	unint	unrel	plur	0	0	2	2	1
58	SemRel	unint	unrel	plur	0	0	0	0	2
59	SemRel	unint	unrel	plur	0	0	3	3	3
60	SemRel	unint	unrel	plur	0	0	0	0	4
61	SemRel	unint	unrel	plur	0	0	1	1	5
62	SemRel	unint	unrel	plur	0	0	1	1	6
63	SemRel	unint	unrel	plur	0	0	2	2	7
64	SemRel	unint	unrel	plur	0	0	2	2	8
65	SemRel	unint	unrel	plur	0	0	0	0	1
66	SemRel	unint	unrel	plur	0	0	3	3	2
67	SemRel	unint	unrel	plur	0	0	1	1	3
68	SemRel	unint	unrel	plur	0	0	0	0	4
69	SemRel	unint	unrel	plur	0	0	3	3	5
70	SemRel	unint	unrel	plur	0	0	1	2	6
71	SemRel	unint	unrel	plur	0	0	3	3	7
72	SemRel	unint	unrel	plur	0	0	1	1	8
73	SemRel	unint	unrel	plur	0	0	1	1	1
74	SemRel	unint	unrel	plur	0	0	2	2	2
75	SemRel	unint	unrel	plur	0	0	2	2	3
76	SemRel	unint	unrel	plur	0	0	1	1	4
77	SemRel	unint	unrel	plur	0	0	2	2	5
78	SemRel	unint	unrel	plur	0	0	0	0	6
79	SemRel	unint	unrel	plur	0	0	0	0	7
80	SemRel	unint	unrel	plur	0	0	1	1	8
81	SemRel	unint	unrel	plur	0	0	3	3	1
82	SemRel	unint	unrel	plur	0	0	1	1	2
83	SemRel	unint	unrel	plur	1	1	2	2	3
84	SemRel	unint	unrel	plur	0	0	1	1	4
85	SemRel	unint	unrel	plur	0	0	0	0	5
86	SemRel	unint	unrel	plur	0	0	2	3	6
87	SemRel	unint	unrel	plur	0	0	0	0	7
88	SemRel	unint	unrel	plur	0	0	1	1	8
89	SemRel	unint	unrel	plur	0	0	1	1	1
90	SemRel	unint	unrel	plur	0	0	1	2	2
91	SemRel	unint	unrel	plur	0	0	1	1	3
92	SemRel	unint	unrel	plur	0	0	1	1	4
93	SemRel	unint	unrel	plur	0	0	2	2	5
94	SemRel	unint	unrel	plur	0	0	1	1	6
95	SemRel	unint	unrel	plur	1	1	1	1	7
96	SemRel	unint	unrel	plur	0	0	0	0	8
97	SemRel	unint	unrel	plur	0	0	0	0	1
98	SemRel	unint	unrel	plur	0	0	1	2	2
99	SemRel	unint	unrel	plur	0	0	1	1	3
100	SemRel	unint	unrel	plur	0	0	2	2	4
101	SemRel	unint	unrel	plur	0	0	1	1	5
102	SemRel	unint	unrel	plur	0	0	0	0	6
103	SemRel	unint	unrel	plur	0	0	1	1	7
104	SemRel	unint	unrel	plur	0	0	1	1	8
105	SemRel	unint	unrel	plur	0	0	1	1	1
106	SemRel	unint	unrel	plur	0	0	0	0	2
107	SemRel	unint	unrel	plur	0	0	1	2	3
108	SemRel	unint	unrel	plur	0	0	0	0	4
109	SemRel	unint	unrel	plur	0	0	1	2	5
110	SemRel	unint	unrel	plur	1	1	3	3	6
111	SemRel	unint	unrel	plur	0	0	0	0	7
113	SemRel	unint	unrel	plur	0	0	2	2	1
114	SemRel	unint	unrel	plur	0	0	2	2	2
115	SemRel	unint	unrel	plur	0	0	0	0	3
116	SemRel	unint	unrel	plur	0	0	1	1	4
117	SemRel	unint	unrel	plur	0	0	2	3	5
118	SemRel	unint	unrel	plur	0	0	0	0	6
119	SemRel	unint	unrel	plur	0	1	0	1	7
120	SemRel	unint	unrel	plur	0	0	1	1	8
122	SemRel	unint	unrel	plur	0	0	3	3	2
123	SemRel	unint	unrel	plur	2	2	2	2	3
124	SemRel	unint	unrel	plur	0	0	2	2	4
125	SemRel	unint	unrel	plur	0	0	2	3	5
126	SemRel	unint	unrel	plur	0	1	1	2	6
127	SemRel	unint	unrel	plur	0	0	1	1	7
128	SemRel	unint	unrel	plur	2	2	3	3	8
129	SemRel	unint	unrel	plur	1	1	1	2	1
130	SemRel	unint	unrel	plur	0	0	2	2	2
131	SemRel	unint	unrel	plur	0	0	1	1	3
132	SemRel	unint	unrel	plur	0	0	1	1	4
133	SemRel	unint	unrel	plur	1	1	2	2	5
134	SemRel	unint	unrel	plur	0	0	2	2	6
135	SemRel	unint	unrel	plur	0	0	2	2	7
136	SemRel	unint	unrel	plur	0	0	3	3	8
137	SemRel	unint	unrel	plur	0	0	1	3	1
139	SemRel	unint	unrel	plur	0	0	2	2	3
140	SemRel	unint	unrel	plur	0	0	0	0	4
141	SemRel	unint	unrel	plur	0	0	0	0	5
142	SemRel	unint	unrel	plur	0	0	2	2	6
143	SemRel	unint	unrel	plur	0	0	2	2	7
144	SemRel	unint	unrel	plur	0	0	2	2	4
145	SemRel	unint	unrel	plur	0	0	1	1	1
146	SemRel	unint	unrel	plur	0	0	2	2	2
147	SemRel	unint	unrel	plur	1	1	1	1	3
148	SemRel	unint	unrel	plur	0	0	2	2	4
149	SemRel	unint	unrel	plur	0	0	3	3	5
150	SemRel	unint	unrel	plur	0	0	0	0	6
151	SemRel	unint	unrel	plur	0	0	3	3	7
152	SemRel	unint	unrel	plur	0	0	2	2	8
153	SemRel	unint	unrel	plur	0	0	2	2	1
154	SemRel	unint	unrel	plur	0	0	0	0	2
155	SemRel	unint	unrel	plur	0	0	3	3	3
156	SemRel	unint	unrel	plur	0	0	2	2	4
159	SemRel	unint	unrel	plur	0	1	1	3	7
160	SemRel	unint	unrel	plur	0	0	2	2	8
161	SemRel	unint	unrel	plur	0	0	2	2	1
162	SemRel	unint	unrel	plur	0	0	3	3	2
163	SemRel	unint	unrel	plur	0	0	2	2	3
164	SemRel	unint	unrel	plur	0	0	0	0	4
165	SemRel	unint	unrel	plur	0	0	1	1	5
166	SemRel	unint	unrel	plur	0	0	0	0	6
167	SemRel	unint	unrel	plur	0	0	1	1	7
168	SemRel	unint	unrel	plur	0	0	1	1	8
169	SemRel	unint	unrel	plur	0	0	2	2	1
170	SemRel	unint	unrel	plur	0	0	3	3	2
171	SemRel	unint	unrel	plur	0	0	0	0	3
172	SemRel	unint	unrel	plur	0	0	2	2	4
173	SemRel	unint	unrel	plur	0	0	2	2	5
174	SemRel	unint	unrel	plur	0	0	2	2	6
175	SemRel	unint	unrel	plur	0	0	1	1	7
176	SemRel	unint	unrel	plur	0	0	2	2	8
177	SemRel	unint	unrel	plur	0	0	2	2	1
178	SemRel	unint	unrel	plur	0	0	3	3	2
179	SemRel	unint	unrel	plur	0	0	1	1	3
180	SemRel	unint	unrel	plur	0	0	1	1	4
181	SemRel	unint	unrel	plur	0	0	2	2	5
182	SemRel	unint	unrel	plur	0	0	3	3	6
183	SemRel	unint	unrel	plur	0	0	2	2	7
184	SemRel	unint	unrel	plur	0	0	3	3	8
185	SemRel	unint	unrel	plur	0	0	3	3	1
186	SemRel	unint	unrel	plur	0	0	3	3	2
187	SemRel	unint	unrel	plur	0	0	0	0	3
188	SemRel	unint	unrel	plur	0	0	2	2	4
189	SemRel	unint	unrel	plur	0	0	2	2	5
190	SemRel	unint	unrel	plur	0	0	2	2	6
193	SemRel	unint	unrel	plur	0	0	2	2	1
194	SemRel	unint	unrel	plur	0	0	1	1	2
195	SemRel	unint	unrel	plur	0	0	1	1	3
196	SemRel	unint	unrel	plur	0	0	1	1	4
197	SemRel	unint	unrel	plur	0	0	1	1	5
198	SemRel	unint	unrel	plur	0	0	1	1	6
199	SemRel	unint	unrel	plur	0	0	1	1	7
200	SemRel	unint	unrel	plur	0	0	1	1	8
201	SemRel	unint	unrel	plur	0	0	1	2	1
202	SemRel	unint	unrel	plur	0	0	1	1	2
203	SemRel	unint	unrel	plur	0	0	0	0	3
204	SemRel	unint	unrel	plur	1	1	1	1	4
205	SemRel	unint	unrel	plur	0	0	1	1	5
206	SemRel	unint	unrel	plur	0	0	3	3	6
207	SemRel	unint	unrel	plur	0	0	3	3	7
208	SemRel	unint	unrel	plur	0	0	3	3	8
209	SemRel	unint	unrel	plur	0	0	1	1	1
210	SemRel	unint	unrel	plur	0	0	0	0	2
211	SemRel	unint	unrel	plur	0	0	1	1	3
212	SemRel	unint	unrel	plur	0	0	0	0	4
213	SemRel	unint	unrel	plur	0	0	2	2	5
214	SemRel	unint	unrel	plur	0	0	2	2	6
215	SemRel	unint	unrel	plur	0	0	1	1	7
216	SemRel	unint	unrel	plur	0	0	3	3	8
217	SemRel	unint	unrel	plur	0	0	2	2	1
218	SemRel	unint	unrel	plur	0	0	1	1	2
220	SemRel	unint	unrel	plur	0	0	1	1	4
221	SemRel	unint	unrel	plur	0	0	2	2	5
222	SemRel	unint	unrel	plur	0	0	3	3	6
223	SemRel	unint	unrel	plur	0	0	2	2	7
224	SemRel	unint	unrel	plur	0	0	1	1	8
225	SemRel	unint	unrel	plur	0	0	3	3	1
226	SemRel	unint	unrel	plur	0	0	1	1	2
227	SemRel	unint	unrel	plur	0	0	2	2	3
228	SemRel	unint	unrel	plur	0	0	2	2	4
229	SemRel	unint	unrel	plur	0	0	2	2	5
230	SemRel	unint	unrel	plur	0	0	1	1	6
231	SemRel	unint	unrel	plur	0	0	1	1	7
232	SemRel	unint	unrel	plur	0	0	2	2	8
233	SemRel	unint	unrel	plur	0	0	1	2	1
234	SemRel	unint	unrel	plur	0	0	1	1	2
235	SemRel	unint	unrel	plur	0	0	2	2	3
236	SemRel	unint	unrel	plur	0	0	1	1	4
237	SemRel	unint	unrel	plur	0	0	2	2	5
238	SemRel	unint	unrel	plur	0	0	0	0	6
239	SemRel	unint	unrel	plur	0	0	0	0	7
240	SemRel	unint	unrel	plur	0	0	1	1	8
241	SemRel	unint	unrel	plur	0	0	3	3	1
242	SemRel	unint	unrel	plur	1	1	1	1	2
243	SemRel	unint	unrel	plur	1	1	2	3	3
244	SemRel	unint	unrel	plur	0	0	2	2	4
