S	subexp	related	n2num	end	errd	cnd	errcord	list
17	Prop	rel	plur	1	1	4	4	5
18	Prop	rel	plur	0	0	4	4	6
19	Prop	rel	plur	0	0	4	4	1
20	Prop	rel	plur	0	1	0	1	2
21	Prop	rel	plur	0	0	3	3	3
22	Prop	rel	plur	0	0	0	1	4
23	Prop	rel	plur	0	0	0	0	5
24	Prop	rel	plur	0	0	2	2	6
25	Prop	rel	plur	0	0	2	2	1
26	Prop	rel	plur	0	0	0	0	2
27	Prop	rel	plur	0	0	2	2	3
28	Prop	rel	plur	0	0	2	2	4
29	Prop	rel	plur	0	0	2	2	5
30	Prop	rel	plur	0	0	1	1	6
32	Prop	rel	plur	0	0	2	2	2
33	Prop	rel	plur	0	0	3	3	3
34	Prop	rel	plur	0	0	0	1	4
35	Prop	rel	plur	0	0	3	3	5
36	Prop	rel	plur	1	1	2	2	6
37	Prop	rel	plur	0	0	2	2	1
38	Prop	rel	plur	1	1	3	3	2
39	Prop	rel	plur	0	0	3	3	3
40	Prop	rel	plur	0	0	3	3	4
41	Prop	rel	plur	0	0	3	3	5
42	Prop	rel	plur	0	0	2	2	6
43	Prop	rel	plur	0	0	2	2	1
44	Prop	rel	plur	0	0	2	2	2
46	Prop	rel	plur	0	0	1	1	4
47	Prop	rel	plur	0	0	1	1	5
48	Prop	rel	plur	0	0	3	3	6
49	Prop	rel	plur	0	0	1	1	1
50	Prop	rel	plur	0	0	2	3	2
51	Prop	rel	plur	0	0	2	2	3
52	Prop	rel	plur	0	0	4	4	4
53	Prop	rel	plur	0	0	2	2	5
54	Prop	rel	plur	0	0	3	3	6
55	Prop	rel	plur	0	0	3	3	1
56	Prop	rel	plur	0	0	3	3	2
57	Prop	rel	plur	0	0	2	2	3
58	Prop	rel	plur	0	0	4	4	4
59	Prop	rel	plur	0	0	3	3	5
60	Prop	rel	plur	0	0	3	4	6
61	Prop	rel	plur	0	0	0	1	1
62	Prop	rel	plur	0	0	0	0	2
63	Prop	rel	plur	0	0	2	3	3
64	Prop	rel	plur	0	0	2	2	4
