subj subexpt semint related n2num errnd errd errcornd errcord list
30 SemRel nullinteg unrel sing 0 0 1 2 6
31 SemRel nullinteg rel plur 0 0 2 3 7
31 SemRel nullinteg rel sing 0 0 2 2 7
31 SemRel nullinteg unrel plur 0 0 1 2 7
31 SemRel nullinteg unrel sing 0 0 1 2 7
32 SemRel nullinteg rel plur 1 2 2 3 8
32 SemRel nullinteg rel sing 0 0 4 4 8
32 SemRel nullinteg unrel plur 0 0 1 1 8
32 SemRel nullinteg unrel sing 0 0 2 3 8
33 SemRel nullinteg rel plur 0 0 2 2 1
33 SemRel nullinteg rel sing 0 0 3 3 1
33 SemRel nullinteg unrel plur 0 0 2 2 1
33 SemRel nullinteg unrel sing 0 0 4 4 1
34 SemRel nullinteg rel plur 0 0 3 3 2
34 SemRel nullinteg rel sing 0 0 3 3 2
34 SemRel nullinteg unrel plur 0 0 2 2 2
34 SemRel nullinteg unrel sing 0 0 2 2 2
35 SemRel nullinteg rel plur 0 0 0 0 3
35 SemRel nullinteg rel sing 0 0 2 2 3
35 SemRel nullinteg unrel plur 0 0 3 4 3
35 SemRel nullinteg unrel sing 0 0 4 4 3
36 SemRel nullinteg rel plur 0 0 4 4 4
36 SemRel nullinteg rel sing 0 0 5 6 4
36 SemRel nullinteg unrel plur 0 0 6 6 4
36 SemRel nullinteg unrel sing 0 0 3 4 4
37 SemRel nullinteg rel plur 0 0 0 0 5
37 SemRel nullinteg rel sing 0 0 4 4 5
37 SemRel nullinteg unrel plur 1 1 2 3 5
37 SemRel nullinteg unrel sing 0 0 2 2 5
38 SemRel nullinteg rel plur 0 0 3 4 6
38 SemRel nullinteg rel sing 0 0 3 3 6
38 SemRel nullinteg unrel plur 0 0 4 4 6
38 SemRel nullinteg unrel sing 0 0 2 2 6
39 SemRel nullinteg rel plur 0 0 2 2 7
39 SemRel nullinteg rel sing 0 0 3 3 7
39 SemRel nullinteg unrel plur 0 0 2 2 7
39 SemRel nullinteg unrel sing 0 0 4 4 7
40 SemRel nullinteg rel plur 0 0 4 4 8
40 SemRel nullinteg rel sing 0 0 2 4 8
40 SemRel nullinteg unrel plur 0 0 2 4 8
40 SemRel nullinteg unrel sing 0 0 1 2 8
41 SemRel nullinteg rel plur 0 0 3 3 1
41 SemRel nullinteg rel sing 0 0 4 4 1
41 SemRel nullinteg unrel plur 0 0 2 2 1
41 SemRel nullinteg unrel sing 0 0 3 4 1
42 SemRel nullinteg rel plur 0 0 4 5 2
42 SemRel nullinteg rel sing 0 0 1 1 2
42 SemRel nullinteg unrel plur 0 0 2 3 2
42 SemRel nullinteg unrel sing 0 0 0 0 2
43 SemRel nullinteg rel plur 0 0 1 1 3
43 SemRel nullinteg rel sing 0 0 1 1 3
43 SemRel nullinteg unrel plur 0 0 2 2 3
43 SemRel nullinteg unrel sing 0 0 2 3 3
44 SemRel nullinteg rel plur 0 0 4 4 4
44 SemRel nullinteg rel sing 0 0 5 5 4
44 SemRel nullinteg unrel plur 0 0 6 6 4
44 SemRel nullinteg unrel sing 0 0 4 4 4
45 SemRel nullinteg rel plur 0 0 3 3 5
45 SemRel nullinteg rel sing 0 0 5 5 5
45 SemRel nullinteg unrel plur 0 0 4 4 5
45 SemRel nullinteg unrel sing 0 0 4 4 5
46 SemRel nullinteg rel plur 0 0 4 4 6
46 SemRel nullinteg rel sing 0 0 4 6 6
46 SemRel nullinteg unrel plur 0 0 3 4 6
46 SemRel nullinteg unrel sing 0 0 3 3 6
47 SemRel nullinteg rel plur 0 0 1 1 7
47 SemRel nullinteg rel sing 0 0 2 2 7
47 SemRel nullinteg unrel plur 0 0 4 4 7
47 SemRel nullinteg unrel sing 0 0 0 0 7
48 SemRel nullinteg rel plur 0 0 2 2 8
48 SemRel nullinteg rel sing 0 0 0 1 8
48 SemRel nullinteg unrel plur 0 0 2 2 8
48 SemRel nullinteg unrel sing 0 0 2 3 8
49 SemRel nullinteg rel plur 0 0 1 1 1
49 SemRel nullinteg rel sing 0 0 3 3 1
49 SemRel nullinteg unrel plur 0 0 1 2 1
49 SemRel nullinteg unrel sing 0 0 3 3 1
51 SemRel nullinteg rel plur 0 0 3 3 3
51 SemRel nullinteg rel sing 0 0 3 4 3
51 SemRel nullinteg unrel plur 0 0 3 3 3
51 SemRel nullinteg unrel sing 0 0 2 2 3
52 SemRel nullinteg rel plur 1 1 2 2 4
52 SemRel nullinteg rel sing 0 0 4 4 4
52 SemRel nullinteg unrel plur 0 0 2 2 4
52 SemRel nullinteg unrel sing 0 0 2 2 4
53 SemRel nullinteg rel plur 0 0 3 3 5
53 SemRel nullinteg rel sing 0 0 4 4 5
53 SemRel nullinteg unrel plur 0 0 4 4 5
53 SemRel nullinteg unrel sing 0 0 4 4 5
54 SemRel nullinteg rel plur 0 0 1 2 6
54 SemRel nullinteg rel sing 0 0 2 2 6
54 SemRel nullinteg unrel plur 0 0 2 2 6
54 SemRel nullinteg unrel sing 0 0 1 1 6
55 SemRel nullinteg rel plur 0 0 2 3 7
55 SemRel nullinteg rel sing 0 0 2 2 7
55 SemRel nullinteg unrel plur 0 0 2 3 7
55 SemRel nullinteg unrel sing 0 0 3 3 7
56 SemRel nullinteg rel plur 1 1 2 2 8
56 SemRel nullinteg rel sing 0 0 4 4 8
56 SemRel nullinteg unrel plur 0 0 4 4 8
56 SemRel nullinteg unrel sing 0 0 0 0 8
57 SemRel nullinteg rel plur 0 0 0 0 1
57 SemRel nullinteg rel sing 0 0 3 3 1
57 SemRel nullinteg unrel plur 0 0 2 2 1
57 SemRel nullinteg unrel sing 0 0 1 1 1
58 SemRel nullinteg rel plur 0 0 1 2 2
58 SemRel nullinteg rel sing 0 0 1 1 2
58 SemRel nullinteg unrel plur 0 0 0 0 2
58 SemRel nullinteg unrel sing 0 0 4 4 2
59 SemRel nullinteg rel plur 0 0 2 2 3
59 SemRel nullinteg rel sing 0 0 1 2 3
59 SemRel nullinteg unrel plur 0 0 5 5 3
59 SemRel nullinteg unrel sing 0 0 4 4 3
60 SemRel nullinteg rel plur 0 0 1 2 4
60 SemRel nullinteg rel sing 0 0 2 2 4
60 SemRel nullinteg unrel plur 0 0 1 1 4
60 SemRel nullinteg unrel sing 0 0 4 4 4
61 SemRel nullinteg rel plur 0 0 0 0 5
61 SemRel nullinteg rel sing 0 0 1 1 5
61 SemRel nullinteg unrel plur 0 0 1 1 5
61 SemRel nullinteg unrel sing 0 0 3 4 5
62 SemRel nullinteg rel plur 0 0 3 3 6
62 SemRel nullinteg rel sing 0 0 0 0 6
62 SemRel nullinteg unrel plur 0 0 2 2 6
62 SemRel nullinteg unrel sing 0 0 2 2 6
63 SemRel nullinteg rel plur 0 0 2 2 7
63 SemRel nullinteg rel sing 0 0 3 3 7
63 SemRel nullinteg unrel plur 0 0 5 5 7
63 SemRel nullinteg unrel sing 0 0 5 5 7
64 SemRel nullinteg rel plur 1 1 3 3 8
64 SemRel nullinteg rel sing 0 0 5 5 8
64 SemRel nullinteg unrel plur 0 0 2 2 8
64 SemRel nullinteg unrel sing 0 0 4 4 8
65 SemRel nullinteg rel plur 1 1 2 2 1
65 SemRel nullinteg rel sing 0 0 2 2 1
65 SemRel nullinteg unrel plur 0 0 0 0 1
65 SemRel nullinteg unrel sing 0 0 2 2 1
66 SemRel nullinteg rel plur 2 2 4 4 2
66 SemRel nullinteg rel sing 0 0 4 4 2
66 SemRel nullinteg unrel plur 0 0 4 4 2
66 SemRel nullinteg unrel sing 0 0 6 6 2
67 SemRel nullinteg rel plur 0 0 4 4 3
67 SemRel nullinteg rel sing 0 0 5 5 3
67 SemRel nullinteg unrel plur 0 0 3 3 3
67 SemRel nullinteg unrel sing 0 0 4 4 3
68 SemRel nullinteg rel plur 0 0 1 2 4
68 SemRel nullinteg rel sing 0 0 2 3 4
68 SemRel nullinteg unrel plur 0 0 1 1 4
68 SemRel nullinteg unrel sing 0 0 0 1 4
69 SemRel nullinteg rel plur 0 0 4 5 5
69 SemRel nullinteg rel sing 0 0 5 5 5
69 SemRel nullinteg unrel plur 0 0 6 6 5
69 SemRel nullinteg unrel sing 0 0 3 4 5
70 SemRel nullinteg rel plur 0 0 2 2 6
70 SemRel nullinteg rel sing 0 0 0 2 6
70 SemRel nullinteg unrel plur 0 0 1 2 6
70 SemRel nullinteg unrel sing 0 0 0 0 6
71 SemRel nullinteg rel plur 0 0 4 4 7
71 SemRel nullinteg rel sing 0 0 3 3 7
71 SemRel nullinteg unrel plur 1 1 5 6 7
71 SemRel nullinteg unrel sing 0 0 3 3 7
72 SemRel nullinteg rel plur 0 0 2 2 8
72 SemRel nullinteg rel sing 0 0 2 2 8
72 SemRel nullinteg unrel plur 0 0 1 1 8
72 SemRel nullinteg unrel sing 0 0 1 1 8
73 SemRel nullinteg rel plur 0 0 2 3 1
73 SemRel nullinteg rel sing 0 0 1 2 1
73 SemRel nullinteg unrel plur 0 0 2 2 1
73 SemRel nullinteg unrel sing 0 0 3 3 1
74 SemRel nullinteg rel plur 0 0 4 4 2
74 SemRel nullinteg rel sing 0 0 4 4 2
74 SemRel nullinteg unrel plur 0 0 3 3 2
74 SemRel nullinteg unrel sing 0 0 3 3 2
75 SemRel nullinteg rel plur 0 0 4 4 3
75 SemRel nullinteg rel sing 0 0 4 4 3
75 SemRel nullinteg unrel plur 0 0 5 5 3
75 SemRel nullinteg unrel sing 0 0 4 4 3
76 SemRel nullinteg rel plur 0 0 2 2 4
76 SemRel nullinteg rel sing 0 0 3 4 4
76 SemRel nullinteg unrel plur 0 0 3 3 4
76 SemRel nullinteg unrel sing 0 0 0 0 4
77 SemRel nullinteg rel plur 0 0 3 3 5
77 SemRel nullinteg rel sing 0 0 3 5 5
77 SemRel nullinteg unrel plur 0 0 4 4 5
77 SemRel nullinteg unrel sing 0 0 6 6 5
78 SemRel nullinteg rel plur 0 0 4 4 6
78 SemRel nullinteg rel sing 0 0 1 1 6
78 SemRel nullinteg unrel plur 0 0 1 1 6
78 SemRel nullinteg unrel sing 0 0 4 4 6
79 SemRel nullinteg rel plur 1 1 2 2 7
79 SemRel nullinteg rel sing 0 0 1 1 7
79 SemRel nullinteg unrel plur 0 0 0 0 7
