subject,text,exp,integrated,related.x,n2num.x,maincode,dysfluency,integ,len.char,len.phon,len.syll,lf.head,lf.prep,lf.adj,lf.noun,rel.hl,rel.lh,asso,plaus,animacy,LengthChar.Head,LengthChar.Prep,LengthChar.Adj,LengthChar.Noun,LengthPhon.Head,LengthPhon.Prep,LengthPhon.Adj,LengthPhon.Noun,LengthSylHead,LengthSyll.Prep,LengthSyll.Adj,LengthSyll.Noun,Freq1Mil.Head,FreqMil.Prep,FreqMil.Adj,FreqMil.N1,LogFr.Head,LogFreq.Prep,LogFreq.Adj,LogFreq.N1,RelatedHL,RelatedLH,Integrated,Ass..H.L,Ass..L.HP,Ass..L.HS,AssArc.H.L,AssArc.L.HP,AssArc.L.HS,Plausibility
1002,The butterfly by the lively hamster,Cat,unint,unrel,sing,C,,-1.429220573,0.612012931,1.606843093,0.850748237,-0.534242374,0.652678003,-0.3337899,-0.590043172,-1.062078441,-0.985138736,0,4.35,A,9,2,6,7,9,3,6,7,3,1,2,2,4.94,1212.84,4.06,2.12,0.77,3.08,0.7,0.49,2.42,2.58,2.08,0,0,0,0,0,0,4.35
1002,The drill by the durable handbags,Cat,unint,unrel,plur,C,,-1.429220573,0.010508003,0.667648378,0.127160397,-0.02546386,0.652678003,-1.227353566,-1.006715176,-1.504752993,-1.884887408,0,3.13,I,5,2,7,8,4,3,7,8,1,1,3,2,9.94,1212.84,0.35,0.88,1.04,3.08,0.13,0.27,1.67,1.08,2.08,0,0,0,0,0,0,3.13
1002,The elephant beside the lazy tiger,Cat,unint,rel,sing,C,,-0.594576536,0.311260467,0.980713283,1.574336078,0.068754383,-1.364168082,0.293272321,0.92512775,-0.572185269,0.016581452,0,3.92,A,8,6,4,5,7,6,4,6,3,2,2,2,11.31,14.96,11.57,18.37,1.09,1.2,1.1,1.29,3.25,4.25,3.08,0,0,0,0,0,0,3.92
1002,The horse beyond the young rabbits,Cat,unint,rel,plur,C,,-0.728119582,0.311260467,-0.58461124,-0.596427444,1.726995467,-0.945779799,2.284194873,0.129663016,-0.229850282,-0.385306288,0,4.61,A,5,6,5,7,4,5,3,6,1,2,1,2,92.06,38.25,233.1,6.45,1.97,1.59,2.37,0.87,3.83,3.58,2.92,0,0,0,0,0,0,4.61
1002,The kayak beside the large ferries,Cat,unint,rel,plur,E,,-1.220559564,0.311260467,0.354583474,0.127160397,-1.646017647,-1.364168082,1.077100097,-1.423387179,0.018047467,-0.13337666,0,4.54,I,5,6,5,7,5,6,5,5,2,2,1,2,0.51,14.96,38.49,0.12,0.18,1.2,1.6,0.05,4.25,4,2.33,0,0,0,0,0,0,4.54
1002,The kiwi beside the fake plant,Cat,unint,unrel,sing,C,,-0.035365032,-0.891749388,-0.58461124,-0.596427444,-1.514112106,-1.364168082,0.888981431,1.000886296,-0.424627085,0.016581452,0,4.63,I,4,6,4,5,4,6,3,5,2,2,1,1,0.76,14.96,29.22,20.31,0.25,1.2,1.48,1.33,3.5,4.25,3.75,0,0,0,0,0,0,4.63
1002,The knife beside the heavy club,Cat,unint,rel,sing,C,,-1.145441601,-0.590996925,-0.58461124,-0.596427444,1.180529656,-1.364168082,1.202512542,2.250902307,-0.52496665,-0.583250996,0,4.67,I,5,6,5,4,4,6,4,4,1,2,2,1,46.55,14.96,47.04,97.24,1.68,1.2,1.68,1.99,3.33,3.25,2.42,0,0,0,0,0,0,4.67
1002,The magazine under the tattered novel,Cat,unint,rel,sing,C,D,-0.45268705,1.213517858,0.980713283,1.574336078,0.897874925,-0.109003232,-1.290059788,0.37587829,0.313163836,0.418469192,0,5.61,I,8,5,8,5,7,5,6,5,3,2,2,2,33.14,235.35,0.24,8.92,1.53,2.37,0.09,1,4.75,4.92,3.25,0,0,0,0,0,0,5.61
1002,The rake beside the muddy gloves,Cat,unint,rel,plur,C,,-0.310797564,-0.290244461,-0.58461124,-0.596427444,-1.344519268,-1.364168082,-0.490555456,0.830429567,-0.914520257,-0.5352644,0,5.96,I,4,6,5,6,3,6,4,5,1,2,2,1,1.18,14.96,2.98,16.2,0.34,1.2,0.6,1.24,2.67,3.33,3.42,0,0,0,0,0,0,5.96
1002,The saw by the oily rags,Cat,unint,unrel,plur,C,,-1.011898555,-2.696264171,-2.149935764,-1.320015285,-0.289274942,0.652678003,-0.976528677,-0.343827898,-1.752650743,-1.63295778,0,5.29,I,3,2,4,4,2,3,4,4,1,1,2,1,6.92,1212.84,0.94,3.16,0.9,3.08,0.29,0.62,1.25,1.5,2.58,0,0,0,0,0,0,5.29
