item	subexp	integ	related	n2num	errnod	errd	errcornd	errcord	list
1	SemRel	integ	rel	plur	9	9	22	23	2
1	SemRel	integ	rel	sing	0	0	22	23	1
1	SemRel	integ	unrel	plur	0	2	21	24	4
1	SemRel	integ	unrel	sing	0	0	20	21	3
1	SemRel	unint	rel	plur	5	5	19	20	6
1	SemRel	unint	rel	sing	0	0	17	19	5
1	SemRel	unint	unrel	plur	1	1	20	20	8
1	SemRel	unint	unrel	sing	0	0	15	19	7
2	SemRel	integ	rel	plur	2	2	26	28	2
2	SemRel	integ	rel	sing	0	0	22	22	1
2	SemRel	integ	unrel	plur	0	1	20	22	4
2	SemRel	integ	unrel	sing	0	0	23	24	3
2	SemRel	unint	rel	plur	1	1	19	20	6
2	SemRel	unint	rel	sing	0	0	19	22	5
2	SemRel	unint	unrel	plur	0	0	13	13	8
2	SemRel	unint	unrel	sing	0	0	11	14	7
3	SemRel	integ	rel	plur	2	2	19	21	2
3	SemRel	integ	rel	sing	0	0	17	17	1
3	SemRel	integ	unrel	plur	0	0	13	16	4
3	SemRel	integ	unrel	sing	0	0	14	15	3
3	SemRel	unint	rel	plur	1	1	15	18	6
3	SemRel	unint	rel	sing	0	0	18	20	5
3	SemRel	unint	unrel	plur	1	1	13	15	8
3	SemRel	unint	unrel	sing	0	1	14	16	7
4	SemRel	integ	rel	plur	0	0	15	16	3
4	SemRel	integ	rel	sing	0	0	7	8	2
4	SemRel	integ	unrel	plur	1	1	9	9	5
4	SemRel	integ	unrel	sing	0	0	10	14	4
4	SemRel	unint	rel	plur	1	1	7	8	7
4	SemRel	unint	rel	sing	0	0	8	9	6
4	SemRel	unint	unrel	plur	0	0	9	11	1
4	SemRel	unint	unrel	sing	0	0	6	9	8
5	SemRel	integ	rel	plur	0	0	9	9	3
5	SemRel	integ	rel	sing	0	0	4	4	2
5	SemRel	integ	unrel	plur	0	0	20	22	5
5	SemRel	integ	unrel	sing	0	0	19	21	4
5	SemRel	unint	rel	plur	1	1	14	15	7
5	SemRel	unint	rel	sing	0	0	7	11	6
5	SemRel	unint	unrel	plur	1	1	17	21	1
5	SemRel	unint	unrel	sing	0	0	13	14	8
6	SemRel	integ	rel	plur	0	0	13	16	3
6	SemRel	integ	rel	sing	0	0	11	13	2
6	SemRel	integ	unrel	plur	0	0	9	10	5
6	SemRel	integ	unrel	sing	0	0	13	15	4
6	SemRel	unint	rel	plur	1	1	18	19	7
6	SemRel	unint	rel	sing	0	0	13	14	6
6	SemRel	unint	unrel	plur	0	0	16	19	1
6	SemRel	unint	unrel	sing	0	0	14	14	8
7	SemRel	integ	rel	plur	0	0	18	21	4
7	SemRel	integ	rel	sing	0	0	19	20	3
7	SemRel	integ	unrel	plur	1	1	15	17	6
7	SemRel	integ	unrel	sing	0	0	17	17	5
7	SemRel	unint	rel	plur	0	1	15	17	8
7	SemRel	unint	rel	sing	0	0	16	17	7
7	SemRel	unint	unrel	plur	0	0	15	18	2
7	SemRel	unint	unrel	sing	0	0	12	14	1
8	SemRel	integ	rel	plur	1	1	18	18	4
8	SemRel	integ	rel	sing	0	0	16	16	3
8	SemRel	integ	unrel	plur	1	1	21	23	6
8	SemRel	integ	unrel	sing	0	0	16	17	5
8	SemRel	unint	rel	plur	1	1	19	20	8
8	SemRel	unint	rel	sing	0	0	20	20	7
8	SemRel	unint	unrel	plur	1	1	21	23	2
8	SemRel	unint	unrel	sing	0	0	17	18	1
9	SemRel	integ	rel	plur	1	1	7	7	4
9	SemRel	integ	rel	sing	0	0	9	9	3
9	SemRel	integ	unrel	plur	0	0	9	10	6
9	SemRel	integ	unrel	sing	0	0	13	13	5
9	SemRel	unint	rel	plur	0	0	10	11	8
9	SemRel	unint	rel	sing	0	0	8	8	7
9	SemRel	unint	unrel	plur	0	0	7	7	2
9	SemRel	unint	unrel	sing	0	0	14	14	1
10	SemRel	integ	rel	plur	1	2	16	18	5
10	SemRel	integ	rel	sing	0	0	14	14	4
10	SemRel	integ	unrel	plur	0	0	13	14	7
10	SemRel	integ	unrel	sing	0	0	12	13	6
10	SemRel	unint	rel	plur	1	1	16	16	1
10	SemRel	unint	rel	sing	1	1	15	15	8
10	SemRel	unint	unrel	plur	1	1	8	10	3
10	SemRel	unint	unrel	sing	0	0	11	15	2
11	SemRel	integ	rel	plur	3	3	20	21	5
11	SemRel	integ	rel	sing	0	0	20	22	4
11	SemRel	integ	unrel	plur	2	2	13	18	7
11	SemRel	integ	unrel	sing	0	0	18	19	6
11	SemRel	unint	rel	plur	4	4	16	16	1
11	SemRel	unint	rel	sing	0	0	15	17	8
11	SemRel	unint	unrel	plur	3	3	20	23	3
11	SemRel	unint	unrel	sing	0	0	19	21	2
12	SemRel	integ	rel	plur	1	1	6	7	5
